Week of,Cases,Cluster
2020-03-23,0.0,0
2020-03-23,1.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,0.0,0
2020-03-23,1.0,0
2020-03-30,9.0,0
2020-03-30,7.0,0
2020-03-30,3.0,0
2020-03-30,12.0,0
2020-03-30,21.0,0
2020-03-30,0.0,0
2020-03-30,1.0,0
2020-04-06,0.0,0
2020-04-06,1.0,0
2020-04-06,0.0,0
2020-04-06,1.0,0
2020-04-06,4.0,0
2020-04-06,0.0,0
2020-04-06,0.0,0
2020-04-13,0.0,0
2020-04-13,1.0,0
2020-04-13,0.0,0
2020-04-13,0.0,0
2020-04-13,1.0,0
2020-04-13,0.0,0
2020-04-13,0.0,0
2020-04-20,0.0,0
2020-04-20,0.0,0
2020-04-20,2.0,0
2020-04-20,0.0,0
2020-04-20,1.0,0
2020-04-20,0.0,0
2020-04-20,0.0,0
2020-04-27,0.0,0
2020-04-27,1.0,0
2020-04-27,1.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-04-27,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-04,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-11,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,2.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-18,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,0.0,0
2020-05-25,1.0,0
2020-06-01,0.0,0
2020-06-01,0.0,0
2020-06-01,0.0,0
2020-06-01,2.0,0
2020-06-01,0.0,0
2020-06-01,1.0,0
2020-06-01,0.0,0
2020-06-08,0.0,0
2020-06-08,0.0,0
2020-06-08,1.0,0
2020-06-08,0.0,0
2020-06-08,3.0,0
2020-06-08,16.0,0
2020-06-08,1.0,0
2020-06-15,2.0,3
2020-06-15,1.0,3
2020-06-15,0.0,3
2020-06-15,75.0,3
2020-06-15,6.0,3
2020-06-15,0.0,3
2020-06-15,1.0,3
2020-06-22,4.0,4
2020-06-22,5.0,4
2020-06-22,0.0,4
2020-06-22,124.0,4
2020-06-22,8.0,4
2020-06-22,3.0,4
2020-06-22,15.0,4
2020-06-29,2.0,0
2020-06-29,10.0,0
2020-06-29,18.0,0
2020-06-29,6.0,0
2020-06-29,12.0,0
2020-06-29,6.0,0
2020-06-29,5.0,0
2020-07-06,7.0,0
2020-07-06,3.0,0
2020-07-06,3.0,0
2020-07-06,9.0,0
2020-07-06,1.0,0
2020-07-06,1.0,0
2020-07-06,4.0,0
2020-07-13,5.0,0
2020-07-13,3.0,0
2020-07-13,1.0,0
2020-07-13,1.0,0
2020-07-13,8.0,0
2020-07-13,8.0,0
2020-07-13,2.0,0
2020-07-20,7.0,0
2020-07-20,2.0,0
2020-07-20,4.0,0
2020-07-20,2.0,0
2020-07-20,8.0,0
2020-07-20,2.0,0
2020-07-20,6.0,0
2020-07-27,6.0,0
2020-07-27,0.0,0
2020-07-27,0.0,0
2020-07-27,1.0,0
2020-07-27,1.0,0
2020-07-27,1.0,0
2020-07-27,4.0,0
2020-08-03,4.0,0
2020-08-03,1.0,0
2020-08-03,9.0,0
2020-08-03,3.0,0
2020-08-03,5.0,0
2020-08-03,7.0,0
2020-08-03,5.0,0
2020-08-10,6.0,0
2020-08-10,5.0,0
2020-08-10,0.0,0
2020-08-10,2.0,0
2020-08-10,3.0,0
2020-08-10,7.0,0
2020-08-10,0.0,0
2020-08-17,0.0,0
2020-08-17,3.0,0
2020-08-17,1.0,0
2020-08-17,2.0,0
2020-08-17,3.0,0
2020-08-17,3.0,0
2020-08-17,4.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,0.0,0
2020-08-24,1.0,0
2020-08-24,1.0,0
2020-08-24,2.0,0
2020-08-31,12.0,0
2020-08-31,0.0,0
2020-08-31,0.0,0
2020-08-31,3.0,0
2020-08-31,17.0,0
2020-08-31,10.0,0
2020-08-31,0.0,0
2020-09-07,0.0,0
2020-09-07,9.0,0
2020-09-07,0.0,0
2020-09-07,5.0,0
2020-09-07,6.0,0
2020-09-07,13.0,0
2020-09-07,20.0,0
2020-09-14,4.0,1
2020-09-14,28.0,1
2020-09-14,3.0,1
2020-09-14,2.0,1
2020-09-14,39.0,1
2020-09-14,59.0,1
2020-09-14,10.0,1
2020-09-21,5.0,2
2020-09-21,2.0,2
